C (GPa),dP/dh (N/m),Wp/Wt,hm (um)
157.5398324,193559.4298,0.692562359,0.239015744
133.0577705,203446.6071,0.735045147,0.26007655
144.6854951,199288.8501,0.719496107,0.249407748
146.2404114,201837.9604,0.727095742,0.248078166
147.7858394,197541.5724,0.701588322,0.246777375
135.6841524,196718.0783,0.731936675,0.257546943
135.7625779,198651.1526,0.728776764,0.257472481
141.5330386,201055.948,0.719661204,0.25216956
143.6298189,197718.6793,0.720479369,0.250321515
135.5988152,201774.5011,0.732515289,0.25762831
126.5966526,208949.9796,0.757197567,0.266631206
125.2670007,203138.7033,0.730890427,0.268042744
140.1055968,201311.5389,0.712588874,0.253450996
132.6774168,198032.0625,0.72527244,0.260449992
132.1348283,202806.7177,0.729979965,0.260983417
142.7101543,202034.1124,0.72419409,0.251127162
138.4797747,201494.6343,0.718165825,0.254933894
141.6594598,203208.5371,0.71676102,0.252057205
127.8081375,202672.661,0.728640162,0.26536489
141.9221585,206500.0506,0.724783936,0.251823253
127.7218607,201114.2716,0.736067572,0.265454068
148.8697933,199404.1122,0.722148371,0.245877097
136.0371814,203536.4068,0.732315139,0.257213074
144.6194286,195692.2999,0.704630602,0.249464657
129.9615225,206897.1439,0.732668992,0.263156975
127.5514603,200769.3835,0.726326679,0.265631442
129.1957594,199157.7409,0.735894231,0.263935332
155.1487527,197950.017,0.714021745,0.240850804
144.6697706,199194.8307,0.725588064,0.249420529
126.3830952,209142.1273,0.741150971,0.266856038
150.8573373,201171.8645,0.721953537,0.244252493
130.9120418,200955.1917,0.732174686,0.26219985
143.4112387,202939.234,0.706816369,0.250513068
129.6675508,210330.7144,0.744212798,0.263454804
142.5070316,203912.4456,0.726098903,0.251306132
149.1239593,198207.2878,0.707388074,0.245667549
135.9630858,201143.0362,0.725631446,0.257283196
135.1000758,199757.0594,0.713549902,0.258103409
132.5915648,194493.4951,0.717387577,0.260533629
141.2953438,196542.9578,0.719108991,0.252381062
129.8231711,203871.273,0.731431358,0.263296972
132.1543794,202135.3156,0.743775456,0.260964117
137.7297318,198100.7785,0.733958941,0.255627974
134.9356037,209293.714,0.734962793,0.258260805
121.6821072,208977.9773,0.746443209,0.271962269
121.3271663,209433.681,0.73924795,0.272359503
138.6112821,198366.6274,0.730070104,0.254813903
133.6189312,198783.2676,0.723073387,0.259530271
134.0305258,202759.2639,0.723313486,0.259131213
134.8091524,197857.6837,0.719260677,0.258382044
147.1516629,202461.7761,0.717742133,0.247308394
132.3033355,200447.3081,0.728651982,0.260817311
139.7524583,198425.5418,0.718205359,0.253770776
132.8105788,198101.7732,0.718332727,0.260318929
136.5796701,203520.1034,0.733730546,0.25670122
134.858138,199993.8181,0.719944196,0.258334837
144.2432084,198166.1888,0.710853238,0.249789534
128.6313717,197770.8879,0.720920413,0.264513786
151.0477085,199266.8593,0.714872473,0.244098319
124.8747782,208882.4942,0.735322239,0.268462602
134.80266,203575.9413,0.727088133,0.258388506
140.8918625,196127.8849,0.705579692,0.252742892
115.9225946,206474.4302,0.741303681,0.278636693
126.6150108,203976.1614,0.740823414,0.266612211
137.0124261,200463.9811,0.717906106,0.256295416
135.3267,200154.2702,0.719417782,0.257887008
134.7909168,195662.3105,0.72547879,0.25839964
146.2112107,201624.8902,0.722084415,0.248102985
131.943917,202190.5617,0.730072678,0.261172425
133.1466132,202191.8372,0.740203693,0.259990132
131.2503447,202525.1214,0.734119362,0.26186185
131.5910509,202519.3495,0.732155959,0.261522621
133.9657466,208924.2579,0.721386978,0.259193915
132.4068592,208179.9457,0.734081222,0.260715655
137.2928913,203726.8966,0.722499037,0.25603398
131.8792708,200694.811,0.72185469,0.261236634
134.6933793,203599.7042,0.726754624,0.258493052
145.4875135,198684.7113,0.718936659,0.248718621
140.1984896,196786.084,0.718666536,0.253367089
126.4986518,206572.2621,0.725159034,0.266734227
136.9364862,200828.5376,0.718511352,0.256367324
130.6312958,205493.9973,0.730549939,0.262481314
141.6021815,204199.6683,0.721251898,0.252108039
133.3048314,200761.2751,0.723910119,0.259835854
130.6016585,202720.573,0.73564518,0.26251084
126.627903,210271.0703,0.736604536,0.266598323
126.7317337,196075.3897,0.711368726,0.266489216
123.344795,205091.2979,0.741115849,0.27012274
153.7601322,194699.2132,0.710885173,0.241935745
138.8689993,198795.7996,0.720752856,0.254577444
144.6030362,195262.6081,0.716049349,0.24947857
152.4702517,195684.7348,0.722104675,0.242957145
107.2708212,202406.9706,0.74455984,0.289654679
125.1930675,205825.298,0.738615049,0.2681218
146.4768569,200984.1045,0.731125718,0.24787742
127.8616264,205960.9658,0.729148013,0.265309677
127.3450807,203054.1413,0.731998799,0.2658468
129.9797736,204002.6482,0.728722004,0.263138164
121.7747348,209524.2221,0.741038791,0.271858904
136.7808041,202496.4069,0.71882323,0.256512808
133.8886261,201708.4566,0.732536587,0.259267894
130.2284259,199687.0552,0.722851771,0.262885754
147.659662,196661.0333,0.713761146,0.246883235
138.7405808,201545.6405,0.718883219,0.25469505
145.697293,201883.6793,0.727034112,0.248539835
136.4115596,200366.9885,0.714912838,0.256859536
141.937879,202834.2614,0.722767552,0.251809191
134.0275105,206021.6456,0.730909466,0.259134242
133.8656923,197134.9557,0.711452713,0.259291401
145.5400899,196046.0957,0.715026448,0.248674269
148.2896416,197405.4649,0.705306108,0.246357751
135.6644625,205930.1668,0.719801683,0.257566384
141.3442806,202160.5225,0.730719643,0.252337916
148.9145919,193141.8077,0.707332701,0.24584064
138.2877401,200281.7041,0.718859404,0.255111647
137.0037837,197291.3391,0.711671473,0.256303584
144.6359524,197697.5591,0.713718013,0.249450205
137.6956998,195652.8001,0.707733982,0.255659411
129.4946287,201315.4222,0.721221706,0.263630413
123.1570437,204754.4232,0.736536609,0.270328983
127.5107785,197636.5369,0.731329,0.265672959
152.7345239,200012.7142,0.712726438,0.242746673
139.3139319,206105.561,0.72159447,0.254170294
140.4828854,198492.4386,0.717947335,0.253110053
130.5326186,200534.9853,0.734833114,0.262580383
129.0398993,196155.2009,0.720440844,0.264094378
128.7443872,208138.9834,0.726274394,0.26439756
130.2972171,201848.3401,0.718774222,0.262816841
126.2575918,201938.6802,0.738586796,0.266988672
126.0045167,205027.3261,0.734347543,0.267256798
143.3306096,196850.9479,0.715280674,0.250583004
143.9609228,196623.3891,0.700646727,0.250033918
127.6570081,205483.2564,0.729433471,0.265521161
130.1223308,197404.1552,0.729318318,0.262994361
121.3196206,206485.6555,0.746703453,0.272367923
131.3836424,202139.7011,0.730824418,0.261728445
131.1410739,203323.52,0.717414785,0.26197065
151.2424192,194114.7691,0.693135886,0.243940834
148.4010862,199160.6762,0.705999891,0.246264858
136.9135231,199795.9936,0.719468192,0.256388638
129.9990956,204324.1403,0.71697335,0.263118445
142.3081344,201653.7469,0.729099559,0.251482126
132.3850858,205431.0029,0.726015894,0.260737109
130.0410594,206324.2835,0.733457814,0.263076098
